,Yolo version,accuracy (%),inference time(s),Average inference time per image (ms)
,Yolo12n,94.90%,63.8003,63.80 
,Yolo12s,97.30%,115.3217,115.32 
,Yolo12m,97.70%,277.7786,277.78 
,Yolo12l,98.00%,461.2906,461.29 
,Yolo12x,98.00%,834.2973,834.30 
,Yolo11n,92.70%,40.5767,40.58 
,Yolo11s,96.50%,144.687,144.69 
,Yolo11m,96.90%,327.8694,327.87 
,Yolo11l,97.90%,431.4747,431.47 
,Yolo11x,98.60%,688.484,688.48 
,Yolo10n,92.60%,56.2762,56.28 
,Yolo10s,95.40%,102.7016,102.70 
,Yolo10m,97.90%,275.1785,275.18 
,Yolo10l,98.10%,514.7382,514.74 
,Yolo10x,98.40%,556.6205,556.62 
,Yolo10b,97.70%,327.6569,327.66
,Yolov9t,87.80%,53.9133,53.91
,Yolov9s,93.60%,125.8612,125.86
,Yolov9m,96.90%,215.1633,215.16
,Yolov9c,98.10%,306.7703,306.77
,Yolov9e,98.40%,705.3803,705.38
,Yolov8n,87.70%,39.3304,39.33
,Yolov8s,93.70%,74.6252,74.63
,Yolov8m,96.60%,173.3893,173.39
,Yolov8l,98.20%,366.4986,366.50
,Yolov8x,98.60%,545.0439,545.04